Year,Total_Rainfall_Mar_Jul_mm
2025,175.01
2024,664.21
2023,240.79
2022,261.87
2021,481.33
2020,605.79
2019,554.23
2018,179.32
2017,449.58
2016,533.65
2015,759.97
2014,275.08
2013,294.89
2012,387.1
2011,340.61
2010,302.26
2009,496.06
2008,350.01
2007,802.89
2006,261.11
2005,202.18
2004,610.87
2003,267.46
2002,625.86
2001,428.5
2000,414.02
1999,361.95
1998,252.48
1997,470.66
1996,323.09
1995,682.75
1994,450.6
1993,305.31
1992,516.64
1991,513.08
1990,620.78
1989,674.62
1988,306.07
1987,329.69
1986,412.24
1985,400.3
1984,319.79
1983,366.01
1982,637.29
1981,558.29
1980,214.38
